 
 SAP2000 v20.0.0 File: 4STORYSTRUCTURE  N, mm, C Units  PAGE 1
        7.1   -22.86966    16.64177
        7.2   -32.54527     0.01753
        7.3   -29.10613   -19.76926
        7.4   -20.95342   -12.81977
        7.5   -22.26633     2.05549
        7.6   -23.35715     7.59288
        7.7   -18.85397     0.18539
        7.8   -17.65614    -8.05325
        7.9   -16.79598    -9.81177
         8.   -19.44098    -7.61642
        8.1   -27.23187    -0.42286
        8.2     -30.016     3.23924
        8.3   -23.42345    -2.79201
        8.4   -18.63101   -10.28694
        8.5   -21.50379    -9.69729
        8.6    -23.2848    -4.41206
        8.7   -19.20832    -1.40932
        8.8   -12.14165     -1.4499
        8.9   -12.41476    -3.36697
         9.   -17.16482    -5.13605
        9.1   -17.87364    -4.78292
        9.2   -15.27038    -4.77178
        9.3   -10.64398    -3.93334
        9.4    -11.9235    -0.83865
        9.5    -17.2021    -1.07877
        9.6   -21.79168    -3.22436
        9.7   -25.24625    -2.79368
        9.8   -23.21751    -4.75888
        9.9   -19.76146    -6.35008
        10.   -21.07604    -3.85029
       10.1   -22.12546    -4.98267
       10.2   -17.52093    -7.77392
       10.3     -15.151    -3.94575
       10.4   -21.38492    -0.87005
       10.5   -27.56464    -4.24331
       10.6   -24.67077    -5.42691
       10.7   -16.70697    -4.54983
       10.8   -14.61219    -2.28402
       10.9    -21.8373    -1.67692
        11.   -28.43497     -4.5247
       11.1   -25.49983    -7.91821
       11.2   -19.61322    -8.17034
       11.3   -19.84392    -3.72755
       11.4    -23.8711     0.56201
       11.5   -26.65017     3.13673
       11.6   -24.41819      2.0002
       11.7   -19.68733    -2.13589
       11.8   -19.31773     -5.2364
       11.9   -21.45384    -3.58007
        12.   -20.11591    -1.63245
       12.1   -18.26576     -2.1312
       12.2    -18.6182    -5.34724
       12.3   -20.05646    -9.07462
       12.4   -22.17348    -7.20526
       12.5   -21.64527     -1.9801
       12.6   -16.02863    -0.20125
       12.7    -12.7514    -3.71451
       12.8    -14.5532    -10.9933
       12.9   -18.44661   -10.89147
        13.   -21.33533    -2.22942
       13.1   -21.40019     4.84992
       13.2   -18.19921     0.65946
       13.3   -15.06945    -8.74422
       13.4   -15.87154   -11.35318
       13.5    -18.6467    -6.21119
       13.6   -21.31435     2.72536
       13.7   -19.83157     4.44696
       13.8   -18.09859    -0.52704
       13.9    -19.6648    -5.20244
        14.   -21.97335    -5.40875
       14.1   -21.94491     -2.0456
       14.2   -21.19644     1.22361
       14.3   -23.03264     0.66369
       14.4   -24.59906    -4.04149
       14.5   -23.00865    -9.00242
       14.6   -21.08495    -8.38855
       14.7   -20.45003    -4.98305
       14.8   -20.12835    -2.95299
       14.9   -19.93308    -4.18143
        15.    -18.7159    -6.91649
       15.1   -16.29736    -7.24057
       15.2   -15.98433    -3.97949
       15.3   -18.98337    -0.50966
       15.4   -21.93553    -0.56994
       15.5   -23.83253    -2.46234
       15.6    -23.0985    -5.12603
       15.7   -20.62681    -6.85594
       15.8   -18.01398    -4.89008
       15.9   -16.32934    -2.81482
        16.   -18.68468    -2.70677
       16.1   -22.14432    -2.88111
       16.2   -23.04473    -4.40138
       16.3   -21.15107    -4.46741
       16.4    -20.7635    -2.87025
       16.5   -22.73764    -2.13476
       16.6   -23.65493    -1.81607
       16.7   -22.69803    -3.28335
       16.8   -19.73427    -5.57043
       16.9   -16.80229    -6.19847
        17.    -16.2398    -4.11927
       17.1   -18.20977    -1.80231
       17.2   -19.12884     -1.6721
       17.3   -18.95537    -3.77119
       17.4    -18.5669    -5.63739
       17.5   -17.81017    -4.62831
       17.6   -19.59982    -2.92811
       17.7   -22.53465    -2.56404
       17.8   -23.52895    -3.84516
       17.9   -21.28736     -5.3547
        18.   -18.42597    -5.47171
       18.1   -17.17455    -2.98799
       18.2   -18.93431     0.12958
       18.3   -21.13579    -1.86837
       18.4    -22.0137    -5.25621
       18.5   -22.10978    -5.87548
       18.6   -21.06451    -5.49672
       18.7   -20.35618      -3.171
       18.8   -20.49097    -1.39479
       18.9   -18.90377    -4.58242
        19.   -17.69386    -6.74842
       19.1    -18.1361    -5.37789
       19.2   -19.85841    -2.90802
       19.3   -21.33515    -1.11015
       19.4   -20.28133    -2.33217
       19.5   -17.91359    -4.45122
       19.6   -17.03249    -4.62004
       19.7   -18.45494    -2.89629
       19.8   -20.61701    -1.62259
       19.9    -21.1406    -3.21372
        20.   -20.72013    -5.80441
       20.1   -20.41708    -5.37556
       20.2   -22.45692    -2.53249
       20.3   -23.53839     -1.3178
       20.4   -23.18028    -2.63741
       20.5   -20.93407    -4.58629
       20.6   -18.22425    -5.71612
       20.7   -17.81825    -4.57047
       20.8   -18.79912    -3.30648
       20.9   -20.73457    -2.91514
        21.    -20.4253    -3.87756
       21.1   -19.24326    -5.24008
       21.2   -19.19994    -5.24261
       21.3   -20.43238    -3.40245
       21.4   -21.53707    -1.90911
       21.5   -20.43497    -2.10751
       21.6   -18.36699     -3.8108
       21.7   -17.47668    -5.45019
       21.8   -18.80738    -4.43294
       21.9   -20.87182     -2.5067
        22.   -22.71291    -1.99258
       22.1   -21.87224    -2.87898
       22.2   -20.17552    -3.93548
       22.3   -19.14561    -5.12202
       22.4   -20.23528    -4.81039
       22.5   -21.45047    -2.98371
       22.6   -20.86717    -2.55974
       22.7   -19.16935    -3.96262
       22.8   -18.46724    -4.32881
       22.9   -18.54492    -3.96454
        23.   -19.23819    -3.88986
       23.1    -20.5299    -3.58059
       23.2   -21.81205     -3.5686
       23.3   -21.27685    -3.93791
       23.4   -20.35822    -3.85012
       23.5   -19.11899    -3.64777
       23.6   -18.31239    -3.63388
       23.7   -19.34748    -3.59755
       23.8   -21.07033    -3.07441
       23.9   -21.34359    -2.98813
        24.   -19.86072    -3.91323
       24.1   -19.16834    -3.95553
       24.2    -19.9459    -2.91513
       24.3    -21.5125     -2.4619
       24.4   -21.09796    -3.31502
       24.5   -19.05618    -3.94157
       24.6    -17.6948    -4.00826
       24.7   -18.25899    -3.99756
       24.8   -20.13417    -4.24186
       24.9   -21.06882    -4.50713
        25.   -20.18632    -4.67321
       25.1   -19.86533    -4.06096
       25.2   -21.24644    -2.84798
       25.3   -22.14213     -2.3236
       25.4   -20.75094    -3.40128
       25.5   -19.80962    -4.11139
       25.6   -19.39392    -4.04233
       25.7   -19.88366    -3.87973
       25.8   -20.14746    -3.95166
       25.9   -19.75556    -4.35115
        26.   -19.10545    -4.71193
       26.1   -18.65793    -4.35857
       26.2   -19.69794    -3.20887
       26.3   -20.14199    -2.92894
       26.4   -20.43704    -3.43913
       26.5   -21.07032    -3.54541
       26.6   -20.10858    -3.76216
       26.7   -19.19288    -4.32161
       26.8   -19.02681    -4.50061
       26.9   -20.19336    -3.49812
        27.   -21.80044     -2.1092
       27.1   -22.92774    -2.51193
       27.2   -21.94016    -4.83625
       27.3   -19.10078    -6.24401
       27.4   -17.76759    -4.62424
       27.5   -19.15485    -2.09275
       27.6   -21.43824    -1.39874
       27.7    -22.1622    -3.17383
       27.8   -20.74895    -5.71334
       27.9   -18.70358    -6.45553
        28.   -18.04981    -4.36686
       28.1   -20.21158    -1.39822
       28.2   -21.58904    -1.56547
       28.3   -20.85465    -4.06169
       28.4   -19.64668    -5.08333
       28.5   -19.47784     -3.7955
       28.6   -20.01347    -2.34918
       28.7   -20.13625    -2.48702
       28.8    -19.4519    -3.60822
       28.9   -19.16297    -4.66833
        29.   -19.96336     -4.4298
       29.1   -20.43151    -2.78276
       29.2   -19.76395    -2.41527
       29.3   -19.07048    -3.81814
       29.4   -19.06525    -5.12555
       29.5   -19.56348     -4.6546
       29.6   -21.09403    -2.74566
       29.7   -22.04131    -1.78884
       29.8   -20.87842     -3.0297
       29.9   -18.53347    -5.11885
        30.   -17.08295     -5.5194
       30.1   -18.19282    -4.42043
       30.2   -20.50515    -3.39262
       30.3   -21.67113    -3.20552
       30.4   -20.87881    -3.72551
       30.5   -19.76777    -4.26189
       30.6   -19.60552     -4.1392
       30.7   -20.14013    -3.19417
       30.8   -22.64883    -2.84285
       30.9   -22.61574     -3.4497
        31.   -19.13157    -3.69115
       31.1   -17.72453    -2.72002
       31.2   -20.12109    -3.01368
       31.3   -22.71116    -4.50777
       31.4   -22.42078    -4.26009
       31.5    -20.3295    -3.21476
       31.6   -18.85141    -3.21811
       31.7   -17.85844    -4.27837
       31.8   -18.58299    -3.84473
       31.9   -19.91073     -3.5275
        32.   -20.40681     -3.8095
       32.1   -20.98388    -3.93999
       32.2   -20.69228    -4.22968
       32.3   -19.82874    -4.18541
       32.4   -19.78003    -3.31412
       32.5   -19.98865    -2.98778
       32.6   -19.46272    -3.75334
       32.7   -19.59674    -4.17941
       32.8    -19.1301    -4.67204
       32.9   -18.64505    -4.29747
        33.   -19.70929    -3.54443
       33.1   -20.85641    -3.38652
       33.2   -20.73717    -3.14383
       33.3   -19.40981    -2.81881
       33.4   -18.23612    -3.54016
       33.5    -18.6971    -4.49741
       33.6   -20.34338    -4.65231
       33.7   -21.53262     -3.2792
       33.8   -21.22894    -2.20382
       33.9   -20.61826    -3.19362
        34.   -20.16414    -4.72363
       34.1   -20.80471    -4.56623
       34.2   -22.19152    -3.30726
       34.3   -22.62238     -2.2044
       34.4   -20.61092    -2.82149
       34.5   -18.26018    -4.06376
       34.6   -17.77096    -4.40629
       34.7   -19.12596    -4.04234
       34.8   -20.65732    -3.54628
       34.9   -20.74903    -3.63831
        35.   -19.75425    -4.27621
       35.1   -19.16596    -4.73666
       35.2    -20.2825    -4.29089
       35.3   -20.44472    -4.05754
       35.4   -20.21086     -3.6038
       35.5   -20.39598    -3.23505
       35.6   -19.70077     -4.0606
       35.7   -19.32464    -3.76699
       35.8   -20.20591    -2.62408
       35.9   -20.48692    -3.37288
        36.   -19.77474    -4.26474
       36.1   -19.32512    -3.48473
       36.2   -19.88081     -2.6124
       36.3   -20.85379    -2.93039
       36.4   -20.90608     -3.8705
       36.5   -20.33188    -4.46024
       36.6   -19.45661     -4.0687
       36.7   -18.93705    -2.93179
       36.8   -19.99646    -2.27073
       36.9   -21.11395    -3.25945
        37.   -21.06031    -4.55638
       37.1    -20.6729    -4.84369
       37.2   -20.08311    -4.27059
       37.3   -19.97346    -3.76445
       37.4   -19.88753    -4.15326
       37.5   -19.36012    -5.04925
       37.6   -19.16342    -4.80469
       37.7   -19.80168    -3.43441
       37.8   -20.46369    -2.57317
       37.9   -20.84336    -2.99197
        38.   -20.46391    -3.61415
       38.1   -19.72117    -3.85791
       38.2   -19.49803    -3.63326
       38.3   -19.89367    -3.24937
       38.4   -20.09705    -3.41019
       38.5   -19.96681    -3.76272
       38.6   -19.80603    -3.70636
       38.7   -19.71438    -3.52476
       38.8   -19.71786    -3.17337
       38.9   -19.67326    -3.54955
        39.   -19.88429    -4.21698
       39.1   -20.45579     -4.2981
       39.2   -20.92269    -3.89811
       39.3   -20.63827    -3.77871
       39.4   -19.90773    -3.78073
       39.5   -19.46548    -4.23317
       39.6   -19.86717    -4.28151
       39.7   -20.28685    -4.08936
       39.8   -20.53439    -3.88716
       39.9   -20.18166    -3.51622
        40.   -19.77792    -3.50461
       40.1   -19.46499    -3.92652
       40.2   -20.05324    -3.95597
       40.3   -21.21964    -3.42362
       40.4   -21.71712    -2.87668
       40.5   -21.18879    -2.77441
       40.6   -20.32662    -3.19532
       40.7   -20.09346    -3.85436
       40.8   -20.64046    -3.81466
       40.9   -21.09383    -3.15167
        41.   -20.75552    -2.84178
       41.1   -19.52954    -3.60759
       41.2   -18.55648    -4.78079
       41.3   -18.93542    -4.82121
       41.4   -19.97865    -3.84199
       41.5    -20.3424    -3.02589
       41.6   -19.77616    -3.05064
       41.7   -19.20173    -4.10564
       41.8   -18.98611    -4.79723
       41.9   -19.10954    -4.14136
        42.   -19.45932    -2.70524
       42.1   -19.88981    -2.39955
       42.2   -19.84615     -3.8289
       42.3   -19.39703    -5.09271
       42.4    -19.2609     -4.8986
       42.5   -20.11253    -3.58798
       42.6   -21.35465    -2.46406
       42.7   -21.37213     -3.2116
       42.8    -20.2292    -4.84376
       42.9   -19.64666    -4.88929
        43.   -20.35028    -3.58121
       43.1   -21.04987    -2.41654
       43.2   -20.78653    -2.57767
       43.3   -19.75828    -3.86163
       43.4   -19.11441    -4.68196
       43.5   -19.78123    -4.06306
       43.6   -20.46668    -3.22333
       43.7   -20.34357    -3.12907
       43.8   -20.06888    -3.59512
       43.9   -19.75154    -4.24479
        44.   -19.59382    -4.23035
       44.1   -19.62981    -3.55766
       44.2   -19.94316    -3.33223
       44.3   -20.33454    -3.59522
       44.4   -20.52687    -3.69918
       44.5    -20.4189    -3.49898
       44.6   -20.26559    -3.31822
       44.7   -20.20409    -3.45316
       44.8    -20.3985    -3.79555
       44.9   -20.30726     -3.7946
        45.   -19.98908    -3.55082
       45.1   -20.05893      -3.529
       45.2   -19.96177     -3.5905
       45.3   -19.89134    -3.50844
       45.4   -20.29518    -3.70232
       45.5   -20.48103    -4.11043
       45.6   -19.98289    -4.28196
       45.7   -19.32884    -3.98244
       45.8   -19.56713     -3.8401
       45.9   -20.23096    -4.00351
        46.   -20.50538    -3.97752
       46.1   -20.05889    -3.87712
       46.2   -19.77595    -3.50743
       46.3   -19.95254    -2.98758
       46.4   -20.24295    -2.93806
       46.5    -20.3227    -3.45991
       46.6   -19.90866    -3.95706
       46.7   -19.50982    -4.08359
       46.8   -19.48569    -3.83741
       46.9   -19.66387     -3.4253
        47.   -20.16304    -3.33454
       47.1   -20.44979    -3.77258
       47.2    -20.1576    -4.46645
       47.3   -19.96116    -4.58206
       47.4    -20.1637    -3.76675
       47.5   -20.47855     -3.1414
       47.6   -20.63031    -3.37999
       47.7   -20.64447    -3.98687
       47.8   -20.41868    -4.25077
       47.9   -20.08876    -3.95955
        48.   -20.15287    -3.56279
       48.1   -20.18505    -3.52099
       48.2   -19.97272    -3.75597
       48.3   -20.03039    -3.76483
       48.4   -19.98611    -3.68748
       48.5   -19.71992    -3.69401
       48.6   -19.46089    -3.70706
       48.7   -19.14326    -3.67391
       48.8   -19.19219    -3.51487
       48.9   -19.84953    -3.42496
        49.   -20.42565    -3.62093
       49.1   -20.18604     -3.8596
       49.2   -19.63296    -3.88077
       49.3   -19.26731    -3.71168
       49.4   -19.48625    -3.52686
       49.5   -20.10636    -3.42436
       49.6   -20.09885    -3.74005
       49.7   -20.28592    -3.99226
       49.8   -20.47975    -3.82248
       49.9   -20.58327    -3.39276
        50.   -20.53701    -3.23453
       50.1   -20.40629    -3.82923
       50.2   -20.25158     -4.3019
       50.3   -20.49069    -3.76174
       50.4   -20.79117     -3.1239
       50.5   -20.93182    -3.29976
       50.6   -20.94373     -3.7575
       50.7   -20.69205    -4.10238
       50.8   -20.08172    -4.10054
       50.9   -19.94187    -3.53716
        51.   -20.23655    -3.19988
       51.1   -20.48991    -3.48237
       51.2    -20.2293    -3.78316
       51.3   -20.01438    -3.85476
       51.4   -20.18673    -3.77119
       51.5   -20.28726    -3.60471
       51.6   -19.95942    -3.50254
       51.7   -19.24997    -3.69827
       51.8   -18.71005    -3.95822
       51.9   -18.87332    -3.97461
        52.   -19.49868    -3.78783
       52.1   -20.35481    -3.60109
       52.2   -20.48214    -3.78542
       52.3   -19.85828    -4.14468
       52.4   -19.64439    -3.99347
       52.5   -20.17588    -3.51632
       52.6   -20.36243    -3.34174
       52.7   -20.06146    -3.52364
       52.8   -19.63962    -4.00753
       52.9   -19.46085     -4.2245
        53.   -19.89988    -3.81298
       53.1   -20.41596    -3.63286
       53.2   -20.42599    -3.93758
       53.3   -19.95089    -4.09831
       53.4   -19.59016    -3.93576
       53.5   -20.04175    -3.63585
       53.6    -20.6179    -3.43676
       53.7   -20.62018    -3.35703
       53.8   -20.26112    -3.33912
       53.9   -19.97275    -3.31667
        54.   -19.86585    -3.46613
       54.1   -20.06784    -3.55002
       54.2   -20.25498     -3.5667
       54.3   -20.43863    -3.59437
       54.4   -20.10629    -3.56515
       54.5   -19.60844    -3.77624
       54.6   -19.39193    -4.05833
       54.7   -19.98034    -3.92136
       54.8   -20.72328     -3.7737
       54.9   -20.54667    -3.84873
        55.   -20.18745    -3.86078
       55.1   -20.29203    -3.91281
       55.2   -20.32048    -3.85547
       55.3   -20.39936    -3.44194
       55.4   -20.55664    -3.21476
       55.5   -20.39935    -3.78178
       55.6   -20.24094    -4.01997
       55.7   -20.24635    -3.85791
       55.8   -20.05618    -3.73269
       55.9   -19.75656    -3.60943
        56.    -19.4259     -3.7969
       56.1   -19.26604    -4.00636
       56.2   -19.69378    -3.75589
       56.3   -20.09587    -3.33589
       56.4   -20.06514    -3.05068
       56.5   -20.07223    -3.27603
       56.6   -19.90445    -3.76792
       56.7   -19.62631    -3.98906
       56.8   -19.65764    -3.83818
       56.9   -20.12039     -3.6764
        57.   -20.35349    -3.71194
       57.1   -20.12986    -3.89361
       57.2   -19.72717    -3.95102
       57.3   -19.58201    -3.92764
       57.4   -19.89166    -3.63938
       57.5   -20.27176    -3.50941
       57.6   -20.44054    -3.76495
       57.7     -20.208    -3.93983
       57.8   -19.96054    -3.75254
       57.9   -20.28805      -3.377
        58.   -20.78672    -3.30793
       58.1   -20.78715    -3.73194
       58.2   -20.06186    -4.22159
       58.3   -19.34066    -4.19497
       58.4   -19.58655     -3.6628
       58.5   -20.37756    -3.23604
       58.6   -20.58606     -3.4615
       58.7   -20.12868    -3.90992
       58.8    -19.6133     -3.9963
       58.9   -19.61387    -3.73372
        59.   -20.06468    -3.28919
       59.1   -20.45991    -2.98854
       59.2   -20.43367    -3.23417
       59.3   -19.93799    -3.87339
       59.4   -19.38298    -4.22818
       59.5   -19.37531    -3.98603
       59.6   -19.65089    -3.57602
       59.7   -19.82651    -3.61122
       59.8   -19.92914    -3.96522
       59.9   -19.98562    -4.08513
        60.   -20.14588    -3.80222
       60.1   -20.13144    -3.48166
       60.2   -20.17231    -3.39453
       60.3   -20.27862    -3.58489
       60.4   -20.48329    -3.99377
       60.5    -20.4923    -4.11273
       60.6   -20.52149    -3.54878
       60.7   -20.57976    -3.09349
       60.8   -20.58092    -3.38855
       60.9   -20.42037    -3.99583
        61.   -20.04368    -4.16067
       61.1   -19.87372    -3.68293
       61.2   -20.11317    -3.33497
       61.3   -20.51988    -3.51181
       61.4   -20.46598    -3.87429
       61.5   -19.98303    -4.01237
       61.6   -19.68248    -3.74556
       61.7   -19.91787    -3.43481
       61.8   -20.40244    -3.60617
       61.9   -20.50469    -3.95191
        62.   -20.11415     -4.0203
       62.1   -19.64446      -3.843
       62.2   -19.41529    -3.50786
       62.3   -19.56599    -3.26876
       62.4   -19.67208    -3.39688
       62.5   -19.69797    -3.77557
       62.6    -19.8074    -4.00339
       62.7   -19.90971    -3.92007
       62.8   -20.01283    -3.60346
       62.9   -20.01578    -3.48384
        63.   -19.95115    -3.63838
       63.1   -19.92082    -3.84937
       63.2   -19.89189    -3.92437
       63.3    -19.9978    -3.80014
       63.4    -20.2868    -3.55166
       63.5   -20.54985    -3.55714
       63.6   -20.48059    -3.89787
       63.7   -20.28799    -4.07171
       63.8   -20.17443    -3.77746
       63.9   -20.08946     -3.4745
        64.   -20.25167    -3.46626
       64.1   -20.39046    -3.73276
       64.2   -20.24682    -3.97011
       64.3   -19.99372    -3.91701
       64.4   -19.87245     -3.7876
       64.5   -19.73976    -3.84919
       64.6   -19.76647    -3.79513
       64.7   -19.89857    -3.64262
       64.8   -19.98745     -3.5836
       64.9   -20.24584    -3.57528
        65.   -20.51415    -3.65584
       65.1   -20.51002    -3.77463
       65.2   -20.29595    -3.68974
       65.3   -20.04932    -3.55046
       65.4   -20.01067    -3.58069
       65.5   -20.16874    -3.58508
       65.6    -20.2396    -3.57257
       65.7   -20.06712    -3.62963
       65.8   -19.89704    -3.57414
       65.9   -19.89448    -3.56647
        66.   -20.08148    -3.69241
       66.1   -19.98037    -3.84934
       66.2   -19.57041    -3.86046
       66.3   -19.50039    -3.74581
       66.4   -19.73374    -3.69563
       66.5   -20.23638     -3.7273
       66.6   -20.37424    -3.82648
       66.7    -20.2304    -3.85364
       66.8   -19.84098    -3.79314
       66.9   -19.58943    -3.74717
        67.   -19.83606    -3.67775
       67.1   -20.27421    -3.60184
       67.2   -20.48747    -3.63885
       67.3   -20.33234    -3.58965
       67.4    -19.9204    -3.67025
       67.5   -19.79451    -3.79466
       67.6    -19.9339    -3.87353
       67.7   -20.27352    -3.69685
       67.8   -20.38787    -3.48228
       67.9   -20.27686    -3.38473
        68.    -20.1653    -3.45765
       68.1   -20.11764    -3.70564
       68.2   -20.08178    -3.85808
       68.3   -19.94789    -3.73658
       68.4   -19.99795    -3.51477
       68.5   -20.06203     -3.4153
       68.6   -19.88295    -3.62448
       68.7   -19.65758    -3.80989
       68.8   -19.64338    -3.77433
       68.9    -19.8879    -3.58998
        69.   -20.11812    -3.61971
       69.1   -20.06765    -3.85486
       69.2   -19.95501    -4.01246
       69.3   -19.95935    -3.97237
       69.4   -20.14706    -3.76563
       69.5   -20.33416    -3.60567
       69.6   -20.31922    -3.60864
       69.7    -20.3297    -3.65621
       69.8   -20.27392    -3.67764
       69.9     -20.149    -3.70032
        70.   -19.95004    -3.59539
       70.1    -19.7722    -3.50764
       70.2   -19.82597    -3.64847
       70.3   -19.97768    -3.87084
       70.4   -20.01438    -4.02415
       70.5   -20.07711    -3.94976
       70.6   -20.18202    -3.81676
       70.7   -20.21471    -3.79055
       70.8   -20.22821    -3.93267
       70.9   -20.15842    -3.85713
        71.    -20.0361     -3.6117
       71.1   -20.30693    -3.59609
       71.2   -20.02365    -3.93679
       71.3     -19.715    -4.00908
       71.4   -19.59717    -3.42968
       71.5   -19.92485    -3.42357
       71.6   -20.65811     -3.5577
       71.7   -20.39839    -3.85856
       71.8   -20.22647    -3.58968
       71.9   -20.06257    -3.43779
        72.   -19.80977    -3.70241
       72.1    -19.9465    -3.66466
       72.2   -20.14214    -3.73579
       72.3   -20.00783    -3.88877
       72.4   -20.04509    -3.42932
       72.5   -20.03981      -3.437
       72.6   -20.05352    -3.89882
       72.7   -20.03956    -3.91563
       72.8   -20.18211    -3.55155
       72.9    -20.1356    -3.32345
        73.   -19.99231    -3.42398
       73.1   -19.96063    -3.85242
       73.2   -19.98793    -4.11149
       73.3   -20.29024    -3.84966
       73.4   -20.53498    -3.48996
       73.5   -20.27611    -3.44645
       73.6    -19.8522    -3.64356
       73.7    -19.6569    -3.96523
       73.8    -19.5659    -3.99309
       73.9   -19.89617    -3.53944
        74.    -20.3334    -3.22256
       74.1   -20.19345    -3.38473
       74.2   -19.82419    -3.80649
       74.3   -19.66523    -4.12117
       74.4   -19.82689    -4.00207
       74.5   -20.26162    -3.59075
       74.6   -20.41229    -3.39945
       74.7   -20.15086    -3.72893
       74.8   -20.03294    -4.08997
       74.9   -20.03603    -4.17853
        75.   -20.23419    -3.79758
       75.1   -20.37045    -3.44105
       75.2   -20.28536    -3.46804
       75.3   -20.11822    -3.72289
       75.4    -20.0218    -3.89806
       75.5   -20.09938    -3.74874
       75.6   -20.23141    -3.52653
       75.7   -20.27263    -3.56668
       75.8   -20.18528    -3.80161
       75.9   -20.03449    -3.85431
        76.   -19.96818       -3.79
       76.1   -20.03327    -3.69704
       76.2   -20.14359    -3.60021
       76.3   -20.09711    -3.67953
       76.4   -19.99847    -3.77427
       76.5   -19.97938    -3.75555
       76.6   -20.01163    -3.71724
       76.7   -20.06194    -3.66601
       76.8    -20.1325    -3.62752
       76.9   -20.12452    -3.69675
        77.   -20.06159    -3.76485
       77.1   -20.01546    -3.75073
       77.2   -20.01691    -3.71723
       77.3   -20.05237     -3.6746
       77.4   -20.07598    -3.67336
       77.5   -20.05942    -3.72094
       77.6   -20.03168    -3.74849
       77.7   -20.03106    -3.73303
       77.8   -20.05172    -3.70512
       77.9   -20.07131    -3.68805
        78.   -20.07183    -3.69767
       78.1   -20.05338      -3.725
       78.2    -20.0418    -3.73079
       78.3   -20.04932    -3.70856
       78.4   -20.06328    -3.68872
       78.5   -20.06921    -3.68724
       78.6   -20.06245    -3.70195
       78.7   -20.05187    -3.71545
       78.8    -20.0509    -3.70894
       78.9   -20.05875    -3.69077
        79.   -20.06443    -3.68213
       79.1   -20.06184    -3.68807
       79.2   -20.05409    -3.69889
       79.3   -20.04921    -3.70113
       79.4   -20.05134    -3.69094
